task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
7595	SUBSAMPLE_ALIGNMENT (MZ267360.1)	COMPLETED	0	148ms	25.8%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.4 KB	30.2 KB
7596	SUBSAMPLE_ALIGNMENT (OL867299.1)	COMPLETED	0	187ms	23.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7597	SUBSAMPLE_ALIGNMENT (ON515822.1)	COMPLETED	0	101ms	36.4%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7592	SUBSAMPLE_VARIANT_CALLING (MZ321350.1)	COMPLETED	0	1.3s	45.7%	0.2%	6.6 MB	11.4 MB	6.6 MB	11.5 MB	1.4 MB	18.3 KB
7598	SUBSAMPLE_ALIGNMENT (OM686642.1)	COMPLETED	0	159ms	34.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7600	SUBSAMPLE_ALIGNMENT (MZ005003.1)	COMPLETED	0	260ms	19.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7599	SUBSAMPLE_ALIGNMENT (OV091892.1)	COMPLETED	0	107ms	35.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7601	SUBSAMPLE_ALIGNMENT (OM353478.1)	COMPLETED	0	253ms	29.1%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7603	SUBSAMPLE_ALIGNMENT (OW092879.1)	COMPLETED	0	130ms	30.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7602	SUBSAMPLE_ALIGNMENT (OM411182.1)	COMPLETED	0	195ms	27.7%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.2 KB
7604	SUBSAMPLE_ALIGNMENT (OD962730.1)	COMPLETED	0	92ms	27.6%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7605	SUBSAMPLE_ALIGNMENT (OK548188.1)	COMPLETED	0	96ms	30.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.2 KB	30.1 KB
7608	SUBSAMPLE_ALIGNMENT (OD964732.1)	COMPLETED	0	260ms	23.5%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7606	SUBSAMPLE_ALIGNMENT (OM678738.1)	COMPLETED	0	176ms	25.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7607	SUBSAMPLE_ALIGNMENT (OM018418.1)	COMPLETED	0	115ms	47.1%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.3 KB
7610	SUBSAMPLE_ALIGNMENT (ON578175.1)	COMPLETED	0	238ms	22.9%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7611	SUBSAMPLE_ALIGNMENT (MW490908.1)	COMPLETED	0	194ms	22.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7609	SUBSAMPLE_ALIGNMENT (OU395824.1)	COMPLETED	0	216ms	27.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	52.5 KB
7612	SUBSAMPLE_ALIGNMENT (OL894724.1)	COMPLETED	0	100ms	28.6%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7613	SUBSAMPLE_ALIGNMENT (OU533922.1)	COMPLETED	0	90ms	35.6%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7614	SUBSAMPLE_ALIGNMENT (OD938196.1)	COMPLETED	0	204ms	39.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7616	SUBSAMPLE_ALIGNMENT (OM006403.1)	COMPLETED	0	108ms	28.6%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.3 KB
7615	SUBSAMPLE_ALIGNMENT (OU419500.1)	COMPLETED	0	137ms	39.3%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7617	SUBSAMPLE_ALIGNMENT (OD940354.1)	COMPLETED	0	104ms	46.2%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7618	SUBSAMPLE_ALIGNMENT (MZ340661.1)	COMPLETED	0	88ms	46.2%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7620	SUBSAMPLE_ALIGNMENT (OM016976.1)	COMPLETED	0	170ms	30.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7621	SUBSAMPLE_ALIGNMENT (ON170534.1)	COMPLETED	0	229ms	24.0%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.2 KB
7622	SUBSAMPLE_ALIGNMENT (OD990117.1)	COMPLETED	0	276ms	19.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7623	SUBSAMPLE_ALIGNMENT (ON432793.1)	COMPLETED	0	174ms	25.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.3 KB	30.2 KB
8946	SUBSAMPLE_ALIGNMENT (OW099140.1)	COMPLETED	0	184ms	22.2%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
