sample,distance,date,day,lineage
OD995891-1,37,2021-02-14,168,B.1.1.7
OD995973-1,32,2021-02-16,170,B.1.1.7
OD996143-1,33,2021-02-16,170,B.1.1.7
OD996455-1,37,2021-02-12,166,B.1.1.7
OD996563-1,30,2021-02-13,167,B.1.1.7
OD996703-1,33,2021-02-11,165,B.1.1.7
OD996884-1,34,2021-02-11,165,B.1.1.7
OD996989-1,33,2021-02-13,167,B.1.1.7
OK002687-1,30,2021-08-02,337,B.1.617.2
OK018350-1,42,2021-07-12,316,B.1.1.7
OK022758-1,40,2021-07-28,332,B.1.1.7
OK025711-1,30,2021-07-29,333,B.1.617.2
OK029125-1,31,2021-07-31,335,B.1.617.2
OK039751-1,32,2021-08-05,340,AY.44
OK064623-1,43,2021-07-24,328,P.1
OK081123-1,33,2021-08-06,341,B.1.617.2
OK118420-1,42,2021-08-07,342,B.1.1.7
OK124164-1,32,2021-07-20,324,B.1.617.2
OK124531-1,32,2021-07-23,327,B.1.617.2
OK144127-1,34,2021-07-25,329,B.1.617.2
OK147461-1,43,2021-04-17,230,B.1.1.7
OK147613-1,39,2021-05-21,264,P.1
OK173469-1,18,2021-01-11,134,B.1.400
OK188162-1,23,2021-02-20,174,B.1.346
OK188492-1,27,2021-02-16,170,B.1.526
OK188555-1,24,2021-02-17,171,B.1.2
OK189646-1,40,2021-09-10,376,AY.122
OK190958-1,34,2021-03-24,206,B.1.1.7
OK192312-1,28,2021-03-23,205,B.1.429
