sample,distance,date,day,lineage
OD915971-1,22,2020-12-16,108,B.1.177
OD916009-1,20,2020-12-02,94,B.1.258.7
OD916019-1,22,2020-12-03,95,B.1.258.7
OD916285-1,16,2020-12-16,108,B.1.177
OD916301-1,22,2020-12-16,108,B.1.177.57
OD916587-1,20,2020-12-13,105,B.1.177
OD917176-1,22,2020-12-11,103,B.1.177
OD917484-1,19,2020-12-11,103,B.1.177
OD917647-1,32,2020-12-15,107,B.1.1.7
OD917915-1,29,2020-12-15,107,B.1.1.7
OD917957-1,15,2020-12-18,110,B.1.177.16
OD918210-1,32,2020-12-19,111,B.1.1.7
OD918307-1,33,2020-12-19,111,B.1.1.7
OD918679-1,32,2020-12-14,106,B.1.1.7
OD918747-1,19,2020-12-18,110,B.1.469
OD918789-1,30,2020-12-13,105,B.1.1.7
OD918893-1,18,2020-12-21,113,B.1.177.4
OD919057-1,30,2020-12-13,105,B.1.1.7
OD919097-1,30,2020-12-13,105,B.1.1.7
OD919145-1,20,2020-12-14,106,B.1.1.7
OD919269-1,30,2020-12-19,111,B.1.1.7
OD919431-1,34,2020-12-18,110,B.1.1.7
OD919775-1,31,2020-12-21,113,B.1.1.7
OD920047-1,19,2020-12-20,112,B.1.1.301
OD920309-1,28,2020-12-20,112,B.1.1.7
OD920425-1,24,2020-12-11,103,AD.2
OD920678-1,16,2020-12-07,99,B.1.36.17
OD920849-1,18,2020-12-06,98,B.1.1.240
OD920855-1,32,2020-12-06,98,B.1.1.7
OD921061-1,18,2020-12-07,99,B.1.177.17
OD921250-1,18,2020-11-18,80,B.1.177.4
OD921277-1,24,2020-11-18,80,B.1.177.54
OD921436-1,19,2020-12-31,123,B.1.177
OD921465-1,16,2020-11-12,74,B.1.610
OD921484-1,23,2020-11-12,74,B.1.177.54
OD921503-1,17,2020-11-11,73,B.1.36.17
OD921666-1,37,2020-12-30,122,B.1.1.7
OD922088-1,33,2020-12-29,121,B.1.1.7
OD922172-1,20,2020-12-28,120,B.1.177
OD922240-1,30,2020-12-29,121,B.1.1.7
OD922301-1,38,2020-12-29,121,B.1.1.7
OD922597-1,29,2020-12-29,121,B.1.1.7
OD922838-1,32,2020-12-30,122,B.1.1.7
OD922922-1,19,2020-12-28,120,B.1.177
OD923039-1,31,2020-12-26,118,B.1.1.7
OD923176-1,35,2020-12-27,119,B.1.1.7
OD923368-1,30,2020-12-25,117,B.1.1.7
OD923545-1,35,2020-12-26,118,B.1.1.7
OD923691-1,21,2020-12-28,120,B.1.177
OD923846-1,31,2020-12-29,121,B.1.1.7
OD923931-1,18,2020-12-26,118,B.1.221
OD924132-1,34,2020-12-29,121,B.1.1.7
OD924229-1,34,2020-12-22,114,B.1.1.7
OD924398-1,18,2020-12-26,118,B.1.36.17
OD924469-1,34,2020-12-26,118,B.1.1.7
OD925226-1,28,2020-12-07,99,B.1.1.7
OD925464-1,31,2020-11-22,84,B.1.1.7
OD925492-1,29,2020-11-22,84,B.1.1.7
OD925846-1,31,2020-11-22,84,B.1.1.7
OD925983-1,14,2020-11-14,76,B.1.1.274
OD926011-1,19,2020-11-14,76,B.1.177
OD926074-1,31,2020-11-14,76,B.1.1.7
OD926133-1,32,2021-01-03,126,B.1.1.7
OD926639-1,35,2021-01-02,125,B.1.1.7
OD927155-1,30,2020-12-29,121,B.1.1.7
OD927206-1,31,2020-12-14,106,B.1.1.7
OD927308-1,18,2020-12-14,106,B.1.177.19
OD927344-1,31,2021-01-02,125,B.1.1.7
OD927413-1,30,2021-01-03,126,B.1.1.7
OD927477-1,30,2020-12-14,106,B.1.1.7
OD927737-1,32,2021-01-04,127,B.1.1.7
OD928119-1,35,2021-01-01,124,B.1.1.7
OD928153-1,32,2020-12-30,122,B.1.1.7
OD928158-1,35,2020-12-31,123,B.1.1.7
OD928334-1,19,2020-12-29,121,B.1.177.18
OD928575-1,31,2020-12-31,123,B.1.1.7
OD928579-1,34,2020-12-29,121,B.1.1.7
OD928583-1,25,2020-12-29,121,B.1.177
OD928861-1,33,2020-12-31,123,B.1.1.7
OD929001-1,33,2021-01-02,125,B.1.1.7
OD929067-1,19,2020-10-15,46,C.35
OD929134-1,32,2021-01-08,131,B.1.1.7
OD929457-1,33,2021-01-08,131,B.1.1.7
OD929486-1,35,2021-01-08,131,B.1.1.7
OD929614-1,30,2021-01-04,127,B.1.1.7
OD929624-1,33,2021-01-05,128,B.1.1.7
OD929840-1,34,2021-01-01,124,B.1.1.7
OD929979-1,31,2021-01-03,126,B.1.1.7
OD930014-1,17,2021-01-04,127,B.1.177
OD930037-1,30,2021-01-03,126,B.1.1.7
OD930182-1,30,2021-01-05,128,B.1.1.7
OD930233-1,17,2021-01-05,128,B.1.177.10
OD931327-1,36,2021-01-03,126,B.1.1.7
OD932129-1,31,2021-01-04,127,B.1.1.7
OD932227-1,29,2021-01-04,127,B.1.1.7
OD932310-1,29,2021-01-04,127,B.1.1.7
OD932313-1,34,2021-01-04,127,B.1.1.7
OD932495-1,31,2021-01-09,132,B.1.1.7
OD933125-1,33,2021-01-07,130,B.1.1.7
OD933210-1,28,2021-01-10,133,B.1.1.7
OD933427-1,33,2021-01-09,132,B.1.1.7
OD933893-1,35,2021-01-09,132,B.1.1.7
OD933906-1,34,2021-01-08,131,B.1.1.7
OD934075-1,33,2021-01-08,131,B.1.1.7
OD934264-1,22,2021-01-08,131,B.1.177.57
OD934283-1,31,2021-01-08,131,B.1.1.7
OD934311-1,30,2021-01-08,131,B.1.1.7
OD934435-1,18,2021-01-06,129,B.1.177
OD934484-1,34,2021-01-07,130,B.1.1.7
OD934789-1,35,2021-01-08,131,B.1.1.7
OD934912-1,35,2021-01-11,134,B.1.1.7
OD935075-1,21,2021-01-07,130,B.1.177
OD935286-1,30,2021-01-05,128,B.1.1.7
OD935292-1,30,2021-01-05,128,B.1.1.7
OD935598-1,21,2021-01-04,127,B.1.177.5
OD935599-1,17,2021-01-04,127,B.1.177
OD935870-1,19,2020-12-28,120,B.1.177.8
OD936009-1,32,2020-12-26,118,B.1.1.7
OD936017-1,18,2020-12-26,118,B.1.177
OD936023-1,31,2020-12-26,118,B.1.1.7
OD936710-1,19,2020-12-14,106,B.1.177.7
OD936928-1,30,2021-01-11,134,B.1.1.7
OD937179-1,34,2021-01-14,137,B.1.1.7
OD937233-1,32,2021-01-12,135,B.1.1.7
OD937383-1,33,2021-01-11,134,B.1.1.7
OD937548-1,32,2021-01-12,135,B.1.1.7
OD937753-1,20,2021-01-12,135,B.1.177.6
OD937827-1,37,2021-01-12,135,B.1.1.7
OD937868-1,31,2021-01-12,135,B.1.1.7
OD938070-1,29,2021-01-09,132,B.1.1.7
OD938170-1,36,2021-01-07,130,B.1.1.7
OD938196-1,32,2021-01-05,128,B.1.1.7
OD938383-1,32,2021-01-11,134,B.1.1.7
OD938410-1,33,2021-01-12,135,B.1.1.7
OD938674-1,22,2021-01-11,134,B.1.408
OD938961-1,34,2021-01-12,135,B.1.1.7
OD939247-1,19,2021-01-11,134,B.1.177
OD939486-1,30,2021-01-11,134,B.1.1.7
OD939692-1,20,2021-01-13,136,B.1.177
OD939815-1,29,2021-01-12,135,B.1.1.7
OD939925-1,32,2021-01-13,136,B.1.1.7
OD940037-1,34,2021-01-13,136,B.1.1.7
OD940354-1,31,2021-01-17,140,B.1.1.7
OD940399-1,29,2021-01-17,140,B.1.1.7
OD940653-1,31,2021-01-12,135,B.1.1.7
OD940741-1,36,2021-01-17,140,B.1.1.7
OD941179-1,34,2021-01-15,138,B.1.1.7
OD941344-1,31,2021-01-13,136,B.1.1.7
OD941652-1,32,2021-01-16,139,B.1.1.7
OD942253-1,30,2021-01-12,135,B.1.1.7
OD942326-1,33,2021-01-15,138,B.1.1.7
OD942396-1,18,2021-01-14,137,B.1.177.10
OD942460-1,18,2021-01-14,137,B.1.177
OD942541-1,18,2021-01-14,137,B.1.177
OD942573-1,32,2021-01-14,137,B.1.1.7
OD942856-1,34,2021-01-12,135,B.1.1.7
OD943091-1,31,2021-01-11,134,B.1.1.7
OD943669-1,31,2021-01-12,135,B.1.1.7
OD943706-1,31,2021-01-11,134,B.1.1.7
OD943749-1,35,2021-01-13,136,B.1.1.7
OD943860-1,31,2021-01-09,132,B.1.1.7
OD944092-1,32,2021-01-09,132,B.1.1.7
OD944179-1,18,2021-01-10,133,B.1.177
OD944365-1,35,2021-01-10,133,B.1.1.7
OD944382-1,34,2021-01-10,133,B.1.1.7
OD944844-1,31,2021-01-17,140,B.1.1.7
OD944894-1,31,2021-01-02,125,B.1.1.7
OD945043-1,16,2021-01-15,138,B.1.177.16
OD945097-1,31,2021-01-17,140,B.1.1.7
OD945103-1,20,2021-01-17,140,B.1.177
OD945171-1,35,2021-01-18,141,B.1.1.7
OD945186-1,32,2021-01-17,140,B.1.1.7
OD945276-1,31,2021-01-15,138,B.1.1.7
OD945565-1,33,2021-01-16,139,B.1.1.7
OD945849-1,35,2021-01-18,141,B.1.1.7
OD945885-1,32,2021-01-18,141,B.1.1.7
OD946117-1,34,2021-01-18,141,B.1.1.7
OD946520-1,21,2021-01-12,135,B.1.177.18
OD946553-1,33,2021-01-13,136,B.1.1.7
OD946588-1,33,2021-01-14,137,B.1.1.7
OD946738-1,31,2021-01-14,137,B.1.1.7
OD947080-1,38,2021-01-22,145,B.1.1.7
OD947168-1,23,2021-01-22,145,B.1.177
OD947195-1,35,2021-01-22,145,B.1.1.7
OD947349-1,31,2021-01-20,143,B.1.1.7
OD947601-1,30,2021-01-16,139,B.1.1.7
OD948171-1,29,2021-01-19,142,B.1.1.7
OD948863-1,30,2021-01-15,138,B.1.1.7
OD949002-1,33,2021-01-18,141,B.1.1.7
OD949286-1,29,2021-01-21,144,B.1.1.7
OD949720-1,21,2020-11-22,84,B.1.177
OD949816-1,18,2020-11-20,82,B.1.177
